Termino,TFIDF,Coeficiente_predicha,Coeficiente_alternativa,Diferencia_coeficientes,Contribucion_diferencial,Magnitud_diferencial,Favorece_a
by,0.08077169900039036,0.3211418353500862,-0.886516686760052,1.2076585221101381,0.09754463064313634,0.09754463064313634,backend
ve,0.08300409908931675,-0.4385076658433561,0.7123682633061045,-1.1508759291494606,-0.0955274196626313,0.0955274196626313,frontend
explained,0.17117787780657795,0.4182685617144715,-0.13403971632615447,0.552308278040626,0.09454295892999975,0.09454295892999975,backend
structure a,0.25282852955331364,0.268059522169693,-0.0958883490361522,0.36394787120584515,0.09201640511103261,0.09201640511103261,backend
we,0.06351529784958931,0.8990590828225988,-0.4339149995142463,1.332974082336845,0.0846642458654077,0.0846642458654077,backend
an,0.06489746258811285,-0.5245221430895838,0.6239333309000329,-1.1484554739896167,-0.07453184615735456,0.07453184615735456,frontend
your,0.0519228542416223,0.8742758906951235,-0.4604597849873322,1.3347356756824555,0.0693032859395534,0.0693032859395534,backend
your browser,0.14932460240680318,-0.2887727626459302,0.08971470049747292,-0.37848746314340315,-0.056517489949848246,0.056517489949848246,frontend
works,0.10228181034925639,-0.2396312805768389,0.3051299636273975,-0.5447612442042364,-0.05571916626532266,0.05571916626532266,frontend
into your,0.14932460240680318,-0.09677581104321692,0.26688424175572173,-0.36366005279893865,-0.05430339279543856,0.05430339279543856,frontend
real,0.1448191204768714,0.16289797066504547,-0.19017364399260392,0.35307161465764936,0.051131520700069634,0.051131520700069634,backend
and,0.08186864879850397,0.03511141547404246,0.6404467565813627,-0.6053353411073202,-0.04955798644643781,0.04955798644643781,frontend
it,0.12047280080067743,0.04471480336068536,-0.3619425952280532,0.40665739858873856,0.04899115577430278,0.04899115577430278,backend
a,0.06711752202869027,0.7410059244573256,0.11418386769934011,0.6268220567579855,0.042070743202523034,0.042070743202523034,backend
an api,0.12834860083485075,-0.21671015667678048,0.10468174669238559,-0.32139190336916607,-0.04125020111708202,0.04125020111708202,frontend
if you,0.08925163392091041,-0.06992566286398116,-0.5264750086245082,0.4565493457605271,0.04074777507464972,0.04074777507464972,backend
a url,0.1415829843375572,0.07135041229430597,-0.19137375120688313,0.2627241635011891,0.03719727112608667,0.03719727112608667,backend
up,0.14877011869252144,0.6471092368745729,0.4000146980361015,0.24709453883847138,0.03676028387127323,0.03676028387127323,backend
need,0.09096903174459903,-0.03676977693416437,-0.41499711412791185,0.37822733719374746,0.03440697464385317,0.03440697464385317,backend
ever,0.09730371703308864,0.2837735802985454,-0.05649578246371978,0.34026936276226516,0.03310947378924884,0.03310947378924884,backend
environments,0.2100993844300583,-0.283234563660223,-0.4302529812604943,0.14701841760027134,0.030888479037698258,0.030888479037698258,backend
structure,0.20245751132620982,0.17302897330606878,0.3153809968159515,-0.1423520235098827,-0.028820236412060964,0.028820236412060964,frontend
url,0.1268203310536899,-0.1059954337693978,-0.328840855568351,0.22284542179895322,0.02826133016634241,0.02826133016634241,backend
project,0.14341944026329134,0.7436172412969636,0.5641185298233803,0.17949871147358332,0.02574360472752335,0.02574360472752335,backend
you,0.05507549671094723,-0.0009107773413959489,-0.4070818526175035,0.4061710752761076,0.022370073720451165,0.022370073720451165,backend
tested,0.12540537424278872,-0.2539603300416957,-0.40511351317051214,0.15115318312881643,0.018955421498258,0.018955421498258,backend
api api,0.10791047087204723,-0.31755711353920935,-0.1486070354012937,-0.16895007813791565,-0.018231482485731653,0.018231482485731653,frontend
you ve,0.10035156404827701,0.0014258141403656716,0.18185929712298474,-0.18043348298261908,-0.018106782223984,0.018106782223984,frontend
need to,0.10791047087204723,0.17648113149206493,0.019499157570000824,0.15698197392206412,0.016939998724353377,0.016939998724353377,backend
into,0.0776226644637006,-0.1655234415469773,-0.34803399179609984,0.18251055024912255,0.014166955203073008,0.014166955203073008,backend
ve ever,0.12060698276560476,-0.3047634758527779,-0.19941199152465486,-0.10535148432812305,-0.012706124654692817,0.012706124654692817,frontend
to,0.08931081566143154,-0.19547950944296183,-0.3362753811511295,0.14079587170816765,0.012574594144018725,0.012574594144018725,backend
use,0.15042830589581374,0.5957600591029887,0.6173732493986611,-0.021613190295672435,-0.003251235601181846,0.003251235601181846,frontend
